date,item,price
2000-01-02,"printer",113
2000-01-02,"smartwatch",692
2000-01-02,"monitor",269
2000-01-02,"laptop",765
2000-01-02,"printer",110
2000-01-02,"smartwatch",471
2000-01-02,"desktop",1369
2000-01-02,"cameras",1652
2000-01-02,"tv",3330
2000-01-02,"monitor",1898
2000-01-02,"monitor",1229
2000-01-02,"smartwatch",485
2000-01-02,"desktop",2047
2000-01-02,"cameras",2832
2000-01-02,"tablet",627
2000-01-02,"phone",253
2000-01-02,"smartwatch",712
2000-01-02,"monitor",374
2000-01-02,"tablet",1125
2000-01-02,"printer",234
2000-01-02,"smartwatch",711
2000-01-02,"desktop",2898
2000-01-02,"printer",301
2000-01-02,"cameras",1796
2000-01-02,"monitor",2438
2000-01-02,"tablet",578
2000-01-02,"phone",123
2000-01-02,"desktop",1390
2000-01-02,"tablet",1040
2000-01-02,"tablet",1241
2000-01-02,"smartwatch",361
2000-01-02,"tablet",781
2000-01-02,"printer",307
2000-01-02,"printer",183
2000-01-02,"tv",1145
2000-01-02,"cameras",463
2000-01-02,"phone",213
2000-01-02,"phone",581
2000-01-02,"monitor",1150
2000-01-02,"desktop",2044
2000-01-02,"tablet",172
2000-01-02,"smartwatch",45
2000-01-02,"tablet",216
2000-01-02,"phone",610
2000-01-02,"tv",5374
2000-01-02,"monitor",1330
2000-01-02,"desktop",5641
2000-01-02,"printer",190
2000-01-02,"laptop",1912
2000-01-02,"cameras",3304
2000-01-02,"desktop",5425
2000-01-02,"phone",798
2000-01-02,"tv",4852
2000-01-02,"printer",248
2000-01-02,"tv",2851
2000-01-02,"tablet",1187
2000-01-02,"cameras",1420
2000-01-02,"tv",7138
2000-01-02,"smartwatch",214
2000-01-02,"laptop",2119
2000-01-02,"monitor",2822
2000-01-02,"cameras",2011
2000-01-02,"cameras",258
2000-01-02,"desktop",4583
2000-01-02,"desktop",3718
2000-01-02,"smartwatch",582
2000-01-02,"tablet",1421
2000-01-02,"smartwatch",409
2000-01-02,"desktop",3300
2000-01-02,"tablet",120
2000-01-02,"tablet",457
2000-01-02,"phone",772
2000-01-02,"laptop",1923
2000-01-02,"laptop",1641
2000-01-02,"printer",128
2000-01-02,"laptop",534
2000-01-02,"tv",3401
2000-01-02,"cameras",3417
2000-01-02,"printer",142
2000-01-02,"laptop",3075
2000-01-02,"printer",287
2000-01-02,"tablet",227
2000-01-02,"cameras",1676
2000-01-02,"tv",2340
2000-01-02,"cameras",2258
2000-01-02,"tv",540
2000-01-02,"smartwatch",58
2000-01-02,"desktop",4152
2000-01-02,"tv",5761
2000-01-02,"tablet",1318
2000-01-02,"phone",877
2000-01-02,"monitor",1576
2000-01-02,"laptop",2577
2000-01-02,"smartwatch",391
2000-01-02,"laptop",2583
2000-01-02,"desktop",3482
2000-01-02,"printer",119
2000-01-02,"desktop",1199
2000-01-02,"tablet",1266
2000-01-02,"printer",279
2000-01-02,"printer",118
2000-01-02,"phone",269
2000-01-02,"tv",3390
2000-01-02,"tablet",1334
2000-01-02,"cameras",2868
2000-01-02,"monitor",915
2000-01-02,"cameras",657
2000-01-02,"laptop",2279
2000-01-02,"phone",500
2000-01-02,"laptop",2965
2000-01-02,"tv",4633
2000-01-02,"printer",106
2000-01-02,"desktop",3097
2000-01-02,"phone",416
2000-01-02,"tablet",1377
2000-01-02,"smartwatch",195
2000-01-02,"printer",64
2000-01-02,"printer",60
2000-01-02,"printer",299
2000-01-02,"tv",2645
2000-01-02,"tv",2393
2000-01-02,"laptop",1029
2000-01-02,"tv",4194
2000-01-02,"tv",3202
2000-01-02,"tv",5573
2000-01-02,"smartwatch",576
2000-01-02,"tablet",1409
2000-01-02,"monitor",315
2000-01-02,"laptop",2726
2000-01-02,"laptop",1796
2000-01-02,"tablet",698
2000-01-02,"phone",142
2000-01-02,"desktop",3136
2000-01-02,"monitor",2410
2000-01-02,"laptop",160
2000-01-02,"phone",700
2000-01-02,"desktop",3854
2000-01-02,"tablet",344
2000-01-02,"monitor",2951
2000-01-02,"cameras",1823
2000-01-02,"tablet",1106
2000-01-02,"monitor",2787
2000-01-02,"printer",21
2000-01-02,"phone",953
2000-01-02,"printer",179
2000-01-02,"phone",473
2000-01-02,"printer",86
2000-01-02,"smartwatch",532
2000-01-02,"printer",36
2000-01-02,"laptop",1645
2000-01-02,"phone",213
2000-01-02,"desktop",4625
2000-01-02,"desktop",981
2000-01-02,"smartwatch",420
2000-01-02,"cameras",1674
2000-01-02,"tablet",1499
2000-01-02,"printer",115
2000-01-02,"cameras",3718
2000-01-02,"monitor",2199
2000-01-02,"cameras",2343
2000-01-02,"cameras",459
2000-01-02,"smartwatch",542
2000-01-02,"desktop",1966
2000-01-02,"smartwatch",457
2000-01-02,"tv",5581
2000-01-02,"monitor",98
2000-01-02,"tv",426
2000-01-02,"tv",4562
2000-01-02,"laptop",2114
2000-01-02,"phone",877
2000-01-02,"smartwatch",365
2000-01-02,"laptop",2447
2000-01-02,"tv",2050
2000-01-02,"printer",102
2000-01-02,"smartwatch",333
2000-01-02,"desktop",2700
2000-01-02,"tv",2739
2000-01-02,"printer",171
2000-01-02,"laptop",194
2000-01-02,"smartwatch",525
2000-01-02,"printer",55
2000-01-02,"monitor",2505
2000-01-02,"laptop",2684
2000-01-02,"printer",84
2000-01-02,"tablet",1219
2000-01-02,"smartwatch",61
2000-01-02,"desktop",4224
2000-01-02,"tablet",393
2000-01-02,"laptop",2493
2000-01-02,"monitor",766
2000-01-02,"printer",86
2000-01-02,"desktop",2769
2000-01-02,"monitor",855
2000-01-02,"tv",6553
2000-01-02,"printer",89
2000-01-02,"smartwatch",125
2000-01-02,"smartwatch",443
2000-01-03,"tablet",310
2000-01-03,"printer",50
2000-01-03,"tv",6838
2000-01-03,"smartwatch",440
2000-01-03,"laptop",931
2000-01-03,"tablet",475
2000-01-03,"desktop",2157
2000-01-03,"smartwatch",691
2000-01-03,"phone",690
2000-01-03,"desktop",4888
2000-01-03,"smartwatch",658
2000-01-03,"printer",273
2000-01-03,"printer",110
2000-01-03,"printer",289
2000-01-03,"laptop",872
2000-01-03,"laptop",1711
2000-01-03,"tablet",1461
2000-01-03,"monitor",102
2000-01-03,"phone",196
2000-01-03,"desktop",2532
2000-01-03,"desktop",947
2000-01-03,"phone",132
2000-01-03,"printer",71
2000-01-03,"tablet",560
2000-01-03,"phone",258
2000-01-03,"smartwatch",555
2000-01-03,"smartwatch",612
2000-01-03,"smartwatch",638
2000-01-03,"cameras",644
2000-01-03,"monitor",839
2000-01-03,"printer",278
2000-01-03,"desktop",3602
2000-01-03,"phone",108
2000-01-03,"laptop",1651
2000-01-03,"tablet",761
2000-01-03,"desktop",1567
2000-01-03,"tablet",1012
2000-01-03,"smartwatch",463
2000-01-03,"tv",2605
2000-01-03,"phone",349
2000-01-03,"monitor",595
2000-01-03,"tv",2248
2000-01-03,"phone",792
2000-01-03,"phone",541
2000-01-03,"laptop",2380
2000-01-03,"tv",4227
2000-01-03,"tv",276
2000-01-03,"desktop",3356
2000-01-03,"tv",5612
2000-01-03,"tv",6236
2000-01-03,"printer",297
2000-01-03,"phone",962
2000-01-03,"desktop",3154
2000-01-03,"tv",2415
2000-01-03,"laptop",3100
2000-01-03,"printer",168
2000-01-03,"tv",5509
2000-01-03,"cameras",2444
2000-01-03,"tablet",224
2000-01-03,"tablet",1107
2000-01-03,"smartwatch",312
2000-01-03,"phone",854
2000-01-03,"tv",3460
2000-01-03,"tablet",520
2000-01-03,"laptop",858
2000-01-03,"smartwatch",267
2000-01-03,"monitor",890
2000-01-03,"monitor",2165
2000-01-03,"printer",237
2000-01-03,"smartwatch",144
2000-01-03,"cameras",3710
2000-01-03,"phone",746
2000-01-03,"laptop",3056
2000-01-03,"printer",29
2000-01-03,"tablet",338
2000-01-03,"printer",227
2000-01-03,"desktop",3375
2000-01-03,"desktop",4293
2000-01-03,"cameras",2881
2000-01-03,"tablet",665
2000-01-03,"phone",767
2000-01-03,"smartwatch",657
2000-01-03,"phone",699
2000-01-03,"tv",388
2000-01-03,"smartwatch",277
2000-01-03,"cameras",3267
2000-01-03,"monitor",930
2000-01-03,"laptop",2923
2000-01-03,"smartwatch",367
2000-01-03,"phone",731
2000-01-03,"smartwatch",523
2000-01-03,"cameras",632
2000-01-03,"tv",3116
2000-01-03,"tv",7036
2000-01-03,"desktop",4838
2000-01-03,"desktop",1378
2000-01-03,"tv",2359
2000-01-03,"laptop",1366
